model_name,type,bepe
abd2,x chromosome,1.158533240E-05
bdf,x chromosome,1.160460002E-05
ad,x chromosome,1.161466113E-05
adf,x chromosome,1.161638292E-05
abdf,x chromosome,1.163032641E-05
d,x chromosome,1.165040989E-05
bdf2,x chromosome,1.168187107E-05
ad2,x chromosome,1.172371430E-05
null,x chromosome,1.180447300E-05
null2,x chromosome,1.189413586E-05
abf2,x chromosome,1.195870529E-05
ab,x chromosome,1.201371769E-05
ab2,x chromosome,1.226039737E-05
b,x chromosome,1.253268197E-05
abf,x chromosome,1.261722614E-05
bf2,x chromosome,1.262478278E-05
bf,x chromosome,1.263004346E-05
b2,x chromosome,1.263123108E-05
f2,x chromosome,1.263890824E-05
a2,x chromosome,1.275067335E-05
a,x chromosome,1.282295962E-05
af2,x chromosome,1.286097125E-05
f,x chromosome,1.288020243E-05
af,x chromosome,1.294696307E-05
cef,x chromosome,1.301812880E-05
abcdef,x chromosome,1.308240762E-05
abcef,x chromosome,1.309372631E-05
acdef,x chromosome,1.325230995E-05
acef,x chromosome,1.517036467E-05
ace,x chromosome,1.520998664E-05
cdef,x chromosome,1.523586131E-05
acde,x chromosome,1.523825601E-05
abcde,x chromosome,1.547420124E-05
bcef,x chromosome,1.551100447E-05
abce,x chromosome,1.552025814E-05
acdf,x chromosome,1.561347878E-05
acd,x chromosome,1.568414089E-05
bcdef,x chromosome,1.578111476E-05
ce,x chromosome,1.586394372E-05
cde,x chromosome,1.605558090E-05
bcde,x chromosome,1.613356203E-05
abcdf,x chromosome,1.618296676E-05
bce,x chromosome,1.644493775E-05
abcd,x chromosome,1.653895981E-05
acf,x chromosome,1.660604109E-05
cd,x chromosome,1.668331746E-05
cdf,x chromosome,1.669065413E-05
ac,x chromosome,1.672763431E-05
bcd,x chromosome,1.699715846E-05
bcdf,x chromosome,1.709930491E-05
abcf,x chromosome,1.718171209E-05
abc,x chromosome,1.722520265E-05
bc,x chromosome,1.723026313E-05
cf,x chromosome,1.741726637E-05
c,x chromosome,1.751034876E-05
bcf,x chromosome,1.758290076E-05
abdefgh2,x chromosome,1.806205552E-05
abdeh2,x chromosome,1.824268651E-05
abdegh2,x chromosome,1.827926001E-05
abdefh2,x chromosome,1.893132050E-05
