b e c n w b:e b:c b:n b:w e:c e:n e:w c:n c:w n:w b:e:c b:e:n b:e:w b:c:n b:c:w b:n:w e:c:n e:c:w e:n:w c:n:w b:e:c:n b:e:c:w b:e:n:w b:c:n:w e:c:n:w
4308916.7967972 1571797.3772942 1696195.3736311 1602930.7296521 1442693.9937255 71259.9756126 80367.3098836 57859.6144120 58815.2949920 338572.3636482 204908.0105828 147646.7898107 184848.3828965 135847.5407637 413929.3921274 63058.0738685 32533.7370661 31456.6297425 32921.1822751 31793.5850578 56876.8913112 163009.9594171 125681.1630815 220223.8353230 185400.2569920 89829.0803642 83076.2080495 103757.7112050 93258.6720859 1675030.1435071
4303111.9014345 1573994.4481104 1697579.1677876 1600300.7733110 1441493.0063835 71902.0089501 80344.3841002 59005.8245747 60261.4310223 340008.5097526 204785.2075450 148469.1155960 185045.1868763 136615.3412004 415593.4258868 62628.5986625 33274.0117915 31974.9528376 33310.0782331 32013.7555302 58212.8622206 164242.0026605 127068.7925273 221717.4268318 186750.4247450 89227.3064428 82079.8550863 105258.4031399 94372.4208154 1675466.9604143
4299799.4823173 1573199.9528655 1696629.5828490 1600763.5014509 1441507.1743820 71138.7787744 80345.1940453 58953.3835943 58825.6041402 339812.4511377 204265.7438116 148221.8058205 184162.7858169 135785.4912636 414467.0868281 62722.5083560 32981.7795334 31292.5668169 33622.6680996 31964.4587948 57416.8901240 162866.2295003 127125.5220170 220405.8976688 186073.9163707 89905.5856447 82839.5351108 104120.0353842 94605.0305058 1667953.4210174
4301277.6709237 1574132.7815396 1698130.7082208 1602734.8487339 1440785.7565844 71208.3884136 80576.3542686 58311.8301950 60014.5438578 340369.5297953 205273.0362329 148597.6124660 185329.6083529 135601.8820077 414150.3404865 63089.5229964 32812.9352448 31664.4000684 33355.9866137 32305.3187074 58011.4063589 164557.1476121 125854.9003935 221234.2692382 185036.1701165 89890.8793530 83032.6701261 104666.0390074 94836.7333646 1672329.2755908
4300906.4319734 1571305.1896566 1696122.2849373 1603399.6685627 1443015.5089910 71801.4092803 80362.5309958 58259.5085084 60188.0978779 338708.0224672 204584.6382882 148114.5499220 184726.9589245 136072.5407715 414538.7385699 63035.8860949 33033.6666257 31547.8789952 33091.1304137 31718.5225686 57160.1772104 163553.3666975 126106.0696965 220773.4523088 186336.7534367 90825.4750472 82865.5977545 103901.8735779 93442.3909795 1669608.8225542
4304345.3930652 1571765.4679428 1695905.4957895 1601967.4484529 1443745.6243477 70586.8302437 79835.8779405 57714.2447765 59728.7358783 339169.4574842 203940.9042037 147803.8995411 184379.0776591 135370.0741010 412948.4126022 62668.2913638 32543.1951566 31434.9421795 33128.4394628 31605.3535963 57481.2191503 163973.9418401 125546.7252331 219734.3591666 184535.1600921 89581.6692521 82203.9443697 104489.5349212 93927.7449656 1671442.7497284
4305908.2634060 1575136.5377560 1697993.3629036 1601510.4908121 1438633.1675234 71990.1343434 80141.3568881 58271.3396844 59158.5422160 340477.3299691 204215.2387304 147770.8604538 184624.0055651 135711.6201682 414886.2645180 62758.9223174 32805.3867678 31333.1650402 33007.4736923 31738.7012127 57689.3933644 162812.7180955 126051.1652523 220398.6206908 186683.7879441 89249.6569150 81873.5869610 104066.9890627 94357.1716916 1672819.3705462
4303588.1933583 1573639.4725382 1696086.0633783 1602655.0712449 1443766.3470578 71208.1538909 79896.1231402 58799.2382409 59319.5387258 339500.5331050 204877.2321779 148576.0124223 185240.6088819 135662.5094194 413699.5133740 62644.7085210 32881.0133164 31499.0400880 33347.9654029 31856.5479979 57560.0102067 163155.8101335 126506.9912783 219733.3857595 185246.3402998 89063.5456802 82609.5737848 104034.4335259 93887.6865234 1671238.8820615
4309186.3715572 1573045.7677171 1695177.3185367 1600599.1427000 1441932.7770893 71462.7151285 79936.9267671 58315.6812580 59859.8786790 339324.9724132 205526.2110720 147589.7576118 185480.1031313 135940.3016552 412160.0329628 62557.6139818 32845.9441177 31734.1713613 33140.6958633 32134.8320575 57676.0787935 164911.5613494 126005.2988976 219542.8690029 185886.4737477 89663.9312398 82462.8731271 104413.1417188 94157.5656645 1677827.8288002
4297940.9563687 1574829.3011776 1696735.7899826 1602560.6929386 1444756.8900102 71254.3439111 80228.6109358 58206.4444538 58191.2909210 339829.7994277 204934.3907345 148446.7588269 184480.8483065 136262.3640268 415413.5177312 63438.9542391 33147.0058646 31035.8227574 33583.8210216 31460.6281648 56949.8287642 162663.2499672 126024.3158104 220331.0656521 185923.2256249 90631.1407823 81823.2066650 103785.1573883 93347.0188941 1664698.7816163
4292343.8853229 1573992.0784619 1697376.5643774 1602640.8281194 1442084.3775735 70877.6544367 79955.0562595 57612.7415741 59563.7187808 340149.7253202 204454.7350178 147933.5953760 184419.9537653 135610.3096863 414660.9817030 63104.9439474 32833.3199310 31558.7910706 33277.5926512 32237.1156640 57710.5455038 163485.7232390 125477.8531052 219751.7059790 185593.2606939 89990.2941989 82613.1541893 104371.7675871 94765.0692330 1667048.1978919
